,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Z_aux[824],-0.076,0.654,-1.407,0.982,0.096,0.068,47.0,47.0,49.0,106.0,1.12
Z_aux[825],0.378,0.547,-0.694,1.365,0.033,0.023,278.0,278.0,279.0,482.0,1.03
Z_aux[826],0.113,0.577,-0.967,1.201,0.064,0.046,81.0,81.0,82.0,384.0,1.08
Z_aux[827],-0.24,0.597,-1.35,0.923,0.107,0.077,31.0,31.0,31.0,144.0,1.21
Z_aux[828],-0.102,0.643,-1.375,1.037,0.051,0.036,161.0,161.0,165.0,347.0,1.04
Z_aux[829],-0.095,0.616,-1.159,1.024,0.103,0.074,36.0,36.0,37.0,517.0,1.15
Z_aux[830],-0.249,0.582,-1.301,0.826,0.05,0.035,138.0,138.0,149.0,398.0,1.06
Z_aux[831],0.639,0.599,-0.587,1.708,0.112,0.08,29.0,29.0,31.0,25.0,1.2
Z_aux[832],-0.377,0.576,-1.424,0.715,0.066,0.047,75.0,75.0,74.0,72.0,1.08
Z_aux[833],1.502,0.537,0.487,2.474,0.059,0.042,84.0,84.0,85.0,365.0,1.07
Z_aux[834],1.038,0.597,-0.107,2.165,0.07,0.05,72.0,72.0,78.0,73.0,1.08
Z_aux[835],-0.019,0.614,-1.205,1.115,0.082,0.058,56.0,56.0,57.0,386.0,1.11
Z_aux[836],1.473,0.537,0.461,2.46,0.065,0.049,69.0,61.0,69.0,294.0,1.1
Z_aux[837],0.284,0.528,-0.801,1.241,0.032,0.023,267.0,267.0,267.0,493.0,1.03
Z_aux[838],1.14,0.513,0.2,2.184,0.062,0.044,69.0,69.0,68.0,331.0,1.09
Z_aux[839],0.028,0.572,-1.041,1.095,0.081,0.058,50.0,50.0,50.0,409.0,1.13
Z_aux[840],0.21,0.573,-0.893,1.177,0.095,0.068,36.0,36.0,39.0,141.0,1.14
Z_aux[841],-0.814,0.56,-1.847,0.266,0.054,0.044,107.0,82.0,106.0,245.0,1.07
Z_aux[842],-0.064,0.546,-1.129,1.007,0.045,0.032,151.0,151.0,148.0,338.0,1.05
Z_aux[843],0.423,0.608,-0.732,1.559,0.06,0.042,104.0,104.0,111.0,97.0,1.06
Z_aux[844],1.988,0.517,0.927,2.91,0.068,0.05,59.0,55.0,60.0,73.0,1.09
Z_aux[845],-0.309,0.545,-1.318,0.697,0.055,0.039,96.0,96.0,98.0,198.0,1.06
Z_aux[846],-0.144,0.557,-1.179,0.862,0.044,0.031,158.0,158.0,170.0,486.0,1.05
Z_aux[847],0.069,0.571,-0.956,1.129,0.067,0.047,73.0,73.0,75.0,259.0,1.08
Z_aux[848],-0.094,0.602,-1.21,1.04,0.066,0.047,83.0,83.0,84.0,352.0,1.07
Z_aux[849],1.071,0.573,-0.103,2.082,0.053,0.038,117.0,117.0,116.0,315.0,1.06
Z_aux[850],0.113,0.566,-0.959,1.196,0.048,0.034,139.0,139.0,139.0,242.0,1.06
Z_aux[851],-1.304,0.641,-2.552,-0.201,0.109,0.079,35.0,34.0,35.0,85.0,1.17
Z_aux[852],0.531,0.518,-0.441,1.524,0.044,0.031,139.0,139.0,140.0,357.0,1.04
Z_aux[853],-0.066,0.597,-1.205,1.051,0.083,0.059,52.0,52.0,56.0,60.0,1.1
Z_aux[854],-0.006,0.581,-1.084,1.111,0.091,0.065,41.0,41.0,41.0,244.0,1.14
Z_aux[855],1.19,0.523,0.206,2.159,0.043,0.032,147.0,138.0,146.0,288.0,1.03
Z_aux[856],-0.292,0.56,-1.374,0.781,0.042,0.03,176.0,176.0,177.0,388.0,1.04
Z_aux[857],0.261,0.524,-0.785,1.236,0.061,0.044,74.0,71.0,74.0,199.0,1.08
Z_aux[858],0.029,0.607,-1.109,1.151,0.061,0.043,99.0,99.0,99.0,374.0,1.06
Z_aux[859],1.011,0.545,-0.047,1.982,0.086,0.061,40.0,40.0,41.0,251.0,1.15
Z_aux[860],0.055,0.608,-1.049,1.162,0.081,0.057,57.0,57.0,57.0,316.0,1.1
Z_aux[861],-0.14,0.669,-1.377,1.048,0.131,0.094,26.0,26.0,27.0,118.0,1.23
Z_aux[862],0.083,0.563,-1.024,1.091,0.06,0.043,88.0,88.0,86.0,237.0,1.07
Z_aux[863],-0.185,0.553,-1.204,0.843,0.059,0.042,88.0,88.0,89.0,219.0,1.08
